time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735511	0.629641	7.19966	-1.74747e-17	-1.4732e-17	radar	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494954	7.20272	-0.127223	-0.0118516	lidar	0	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25809	0.533058	7.18807	0.122919	0.0306253	radar	0	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61575	0.595372	7.20144	0.161655	0.0461618	lidar	0	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85108	0.561716	6.01721	0.0247996	-0.235492	radar	0	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.1632	0.591005	6.01671	0.0395466	-0.17956	lidar	0	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37917	0.63667	5.62142	0.0541035	-0.354263	radar	0	1.96701	0.557116	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.657	0.653494	5.61844	0.0426458	-0.330829	lidar	0	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.9235	0.646811	5.55489	-0.00622039	-0.489436	radar	0	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15996	0.641978	5.51134	-0.0197816	-0.452573	lidar	0	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44525	0.537983	5.54165	-0.167728	-0.863244	radar	0	3.56096	0.485311	3.45825	0.622686	5.18963	0.11818
1477010443600000	3.74827	0.426081	5.60316	-0.284881	-1.07728	lidar	0	3.89365	0.311793	3.71772	0.629131	5.18754	0.139576
1477010443650000	4.02954	0.509492	5.56334	-0.149863	-0.560677	radar	0	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30377	0.500989	5.54748	-0.143135	-0.477243	lidar	0	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
